facility_id,facility_name,country,region_district,facility_tier,reporting_period,focal_person,opd_attendance,suspected_malaria,tests_conducted,positive_cases,act_dispensed,severe_referred,submitted_on_time
TA-ARU-101,Arusha Health Centre 1,Tanzania,Arusha,Dispensary,2026-08-01,M. Ndlovu,1626,346,344.0,134,134,5,True
TA-MOS-102,Moshi Health Centre 2,Tanzania,Moshi,Dispensary,2026-08-01,M. Ndlovu,1959,417,414.0,161,161,6,True
KE-KIB-103,Kibera Health Centre 3,Kenya,Kibera,Dispensary,2026-08-01,J. Kamau,1360,289,287.0,111,111,4,True
TA-KAR-104,Karatu Health Centre 4,Tanzania,Karatu,Dispensary,2026-08-01,M. Ndlovu,1794,382,,148,148,6,True
TA-MOS-105,Moshi Health Centre 5,Tanzania,Moshi,Dispensary,2026-08-01,M. Ndlovu,1630,347,,134,134,5,True
KE-KIB-106,Kibera Health Centre 6,Kenya,Kibera,Dispensary,2026-08-01,J. Kamau,1595,339,,131,131,5,True
KE-LAN-107,Langata Health Centre 7,Kenya,Langata,Dispensary,2026-08-01,J. Kamau,1544,328,326.0,127,127,5,True
TA-ARU-108,Arusha Health Centre 8,Tanzania,Arusha,Health Centre,2026-08-01,M. Ndlovu,621,132,131.0,51,51,2,False
KE-MAT-109,Mathare Health Centre 9,Kenya,Mathare,Health Centre,2026-08-01,J. Kamau,966,205,203.0,79,79,3,True
KE-KIB-1010,Kibera Health Centre 10,Kenya,Kibera,Health Centre,2026-08-01,J. Kamau,1738,370,368.0,143,143,6,True
UG-LIR-1011,Lira Health Centre 11,Uganda,Lira,Dispensary,2026-08-01,S. Okello,830,176,175.0,197,68,2,True
KE-MAT-1012,Mathare Health Centre 12,Kenya,Mathare,Dispensary,2026-08-01,J. Kamau,1982,422,419.0,450,163,6,True
KE-MAT-1013,Mathare Health Centre 13,Kenya,Mathare,Dispensary,2026-08-01,J. Kamau,587,125,124.0,151,48,2,True
UG-LIR-1014,Lira Health Centre 14,Uganda,Lira,Health Centre,2026-08-01,S. Okello,1896,403,400.0,441,155,6,True
KE-LAN-1015,Langata Health Centre 15,Kenya,Langata,Health Centre,2026-08-01,J. Kamau,1623,345,343.0,133,133,5,False
TA-ARU-1016,Arusha Health Centre 16,Tanzania,Arusha,Health Centre,2026-08-01,M. Ndlovu,1371,292,290.0,113,113,4,True
KE-LAN-1017,Langata Health Centre 17,Kenya,Langata,Health Centre,2026-08-01,J. Kamau,630,134,133.0,51,51,2,False
TA-KAR-1018,Karatu Health Centre 18,Tanzania,Karatu,Health Centre,2026-08-01,M. Ndlovu,1832,390,388.0,151,151,6,False
